Car Model,Location,Price,Fuel,KM driven,Transmission
2013 Hyundai i10 SPORTZ 1.2 AT,Mira Road East Mira Bhayandar Maharashtra,₹1.94 lakh,Petrol,"74,277 km",Automatic
2021 Hyundai AURA S 1.2 CNG,Kailash Colony Ulhasnagar Maharashtra,₹5 lakh,Petrol,"53,216 km",Manual
2012 Hyundai i20 SPORTZ 1.2,Vashi Navi Mumbai Maharashtra,₹2.49 lakh,Petrol,"61,903 km",Manual
2012 Hyundai i10 SPORTZ 1.2,MGM Residency Ulwe Sector 19 Navi Mumbai,₹1.61 lakh,Petrol,"46,285 km",Manual
2020 Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,Paisar Barabanki,₹3.99 lakh,Petrol,"75,599 km",Manual
2024 Hyundai NEW I20 SPORTZ 1.2 IVT,Thane West Mumbai,₹8.49 lakh,Petrol,"15,175 km",Automatic
2014 Hyundai Eon MAGNA +,Virar East Virar Maharashtra,₹1.66 lakh,Petrol,"35,122 km",Manual
2024 Hyundai Creta E 1.5 PETROL,Lohegaon Pune,₹11.77 lakh,Petrol,"5,398 km",Manual
2013 Hyundai i10 SPORTZ 1.1 LPG,Panvel Navi Mumbai,₹2.19 lakh,Petrol,"51,441 km",Manual
2013 Hyundai i10 ASTA 1.2,Virar West Vasai-Virar Maharashtra,₹1.74 lakh,Petrol,"42,771 km",Manual
2017 Hyundai Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,Khemani Industry Area Ulhasnagar Maharashtra,₹3 lakh,Petrol,"42,884 km",Automatic
2012 Hyundai i10 MAGNA 1.2,Goregaon Mumbai,₹1.37 lakh,Petrol,"41,288 km",Manual
2012 Hyundai Verna FLUIDIC 1.6 CRDI SX,वसई वेस्ट तारखाड,₹2.31 lakh,Diesel,"90,002 km",Manual
2020 Hyundai Creta SX 1.5 PETROL,Kaneri Bhiwandi,₹9 lakh,Petrol,"66,726 km",Manual
2018 Hyundai Elite i20 ASTA 1.2 DUAL TONE,Seawoods Navi Mumbai Maharashtra,₹4.13 lakh,Petrol,"115,900 km",Manual
2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Taloja Navi Mumbai Maharashtra,₹3.23 lakh,Petrol,"71,942 km",Manual
2014 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,Prabhadevi Mumbai Maharashtra,₹2.25 lakh,Petrol,"88,257 km",Manual
2012 Hyundai i10 ERA 1.1,Ulwe Navi Mumbai,₹2.29 lakh,Petrol,"36,625 km",Manual
2010 Hyundai i10 MAGNA 1.1,Vile Parle Mumbai,₹0.98 lakh,Petrol,"23,000 km",Manual
2012 Hyundai Verna FLUIDIC 1.6 VTVT SX,Kalwa Thane Maharashtra,₹2.66 lakh,Petrol,"76,888 km",Manual
2017 Hyundai Elite i20 ASTA 1.2,Chembur Mumbai Maharashtra,₹3.92 lakh,Petrol,"71,310 km",Manual
2016 Hyundai i10 SPORTZ 1.1,Sector 32 Gurugram,₹2.13 lakh,Petrol,"76,529 km",Manual
2017 Hyundai Elite i20 MAGNA 1.2,Seawoods Navi Mumbai Maharashtra,₹3.93 lakh,Petrol,"63,814 km",Manual
2010 Hyundai i20 MAGNA (O) 1.2,Khar West Mumbai Maharashtra,₹1.33 lakh,Petrol,"23,516 km",Manual
2013 Hyundai i10 ERA 1.1,Khadakpada Kalyan Maharashtra,₹1.58 lakh,Petrol,"21,266 km",Manual
