Car_Name,KM driven,Year,Fuel,Transmission,Price,Location
Hyundai Xcent S 1.2,"48,196",2016,Petrol,Manual,3.49,East Mumbai
Hyundai Verna FLUIDIC 1.6 CRDI SX OPT AT,"167,081",2013,Diesel,Automatic,3.65,West Mumbai
Hyundai Creta SX (O) IVT 1.5 PETROL,"60,819",2021,Petrol,Automatic,15.29,Mumbai Maharashtra
Hyundai Verna 1.6 VTVT SX AT,"61,655",2016,Petrol,Automatic,6.42,Mumbai Maharashtra
Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,"67,420",2023,Petrol,Manual,6.94,Bhayandar Maharashtra
Hyundai i20 MAGNA 1.2,"48,829",2010,Petrol,Manual,1.36,Village Mumbai
Hyundai Grand i10 ASTA (O) AT 1.2 KAPPA VTVT,"104,376",2016,Petrol,Automatic,3.5,Navi Mumbai
Hyundai VENUE SX PLUS 1.0 TURBO DCT,"11,275",2019,Petrol,Automatic,8.22,West Thane
Hyundai NEW SANTRO SPORTZ CNG,"51,219",2021,Petrol,Manual,4,Mumbai Maharashtra
Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,"33,363",2022,Petrol,Manual,6.11,Ulhasnagar Maharashtra
Hyundai VENUE SX 1.0 TURBO IMT DUAL TONE SPORT,"52,122",2021,Petrol,Manual,6.45,Thane Maharashtra
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"19,807",2017,Petrol,Manual,3.71,Mumbai Maharashtra
Hyundai Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,"28,684",2017,Petrol,Automatic,4.09,Chembur Mumbai
Hyundai i20 SPORTZ 1.2,"30,389",2013,Petrol,Manual,3.27,Thane Maharashtra
Hyundai Creta EX 1.5 DIESEL,"90,245",2021,Diesel,Manual,11.4,Sopara Maharashtra
Hyundai AURA S 1.2 CNG,"8,577",2024,Petrol,Manual,7.91,Dombivli Maharashtra
Hyundai Xcent S 1.1 CRDI,"82,714",2015,Diesel,Manual,3.64,Kalyan Maharashtra
Hyundai Verna TRANSFORM 1.5 SX CRDI,"97,862",2010,Diesel,Manual,1.19,Bhiwandi Maharashtra
Hyundai NEW I20 ASTA (O) 1.0 TURBO GDI DCT,"12,782",2023,Petrol,Automatic,8,Powai Mumbai
Hyundai Creta SX 1.6 Petrol,"68,190",2016,Petrol,Manual,6.22,Badlapur Maharashtra
Hyundai Creta SX PLUS 1.6 PETROL,"82,568",2016,Petrol,Manual,6.45,Hill Mumbai
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"21,477",2013,Petrol,Manual,3.15,मुंबई महाराष्ट्र
Hyundai Creta SX PLUS AT 1.6 PETROL,"41,432",2016,Petrol,Automatic,8.79,Mumbai Maharashtra
Hyundai i20 ASTA 1.4 AT,"40,431",2012,Petrol,Automatic,2.69,Mumbai Maharashtra
Hyundai NEW SANTRO SPORTZ AMT,"63,784",2019,Petrol,Automatic,3.79,East Mumbai
Hyundai New Elantra 2.0 S PETROL,"82,706",2019,Petrol,Manual,7.75,Mazgaon Mumbai
Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,"41,051",2014,Petrol,Automatic,3.4,Mumbai Maharashtra
Hyundai VENUE SX 1.5 CRDI,"67,903",2022,Diesel,Manual,9.68,East Dombivli
Hyundai AURA SX 1.2 CNG,"27,004",2024,Petrol,Manual,8.1,Mhatwali Maharashtra
Hyundai Elite i20 ASTA 1.2 (O),"62,148",2016,Petrol,Manual,4.1,Mumbai Maharashtra
Hyundai i10 SPORTZ 1.2,"102,018",2010,Petrol,Manual,1.02,Mira Bhayandar
Hyundai Verna FLUIDIC 1.6 CRDI SX AT,"78,849",2014,Diesel,Automatic,3.9,Khadakpada Kalyan
Hyundai NEW SANTRO SPORTZ CNG,"17,390",2021,Petrol,Manual,5.65,Mumbai Maharashtra
Hyundai New Elantra 2.0 SX AT PETROL,"45,922",2018,Petrol,Automatic,8.06,Worli Mumbai
Hyundai Creta S 1.4 DIESEL,"101,174",2016,Diesel,Manual,6.3,West Mumbai
Hyundai Creta S 1.6 PETROL,"88,479",2015,Petrol,Manual,5.75,Mumbai Maharashtra
Hyundai Santa Fe 4 WD AT,"132,676",2014,Diesel,Automatic,4.99,West Dombivli
